Wl,Ex.1 ,Ex.2,Ex.3,Ex.4,Ex.5,Ex.6,Ex.7,Ex.8
400,0.981278335,0.999197601,0.999410635,0.962323457,0.998423233,0.017160586,0.012557714,0.992075673
401,0.981428127,0.999218403,0.99941565,0.962546555,0.998423233,0.017160586,0.012466805,0.992165596
402,0.98157792,0.999239205,0.999420664,0.962769653,0.998423233,0.017160586,0.012375896,0.992255519
403,0.981727712,0.999260007,0.999425678,0.962992752,0.998423233,0.017160586,0.012284987,0.992345443
404,0.981877504,0.999280809,0.999430692,0.96321585,0.998423233,0.017160586,0.012194077,0.992435366
405,0.982027297,0.999301611,0.999435706,0.963438948,0.998423233,0.017160586,0.012103168,0.992525289
406,0.982177089,0.999322413,0.999440721,0.963662047,0.998423233,0.017160586,0.012012259,0.992615213
407,0.982326881,0.999343215,0.999445735,0.963885145,0.998423233,0.017160586,0.01192135,0.992705136
408,0.982476674,0.999364017,0.999450749,0.964108243,0.998423233,0.017160586,0.011830441,0.992795059
409,0.982626466,0.999384819,0.999455763,0.964331342,0.998423233,0.017160586,0.011739532,0.992884983
410,0.982776259,0.999405621,0.999460777,0.96455444,0.998423233,0.017160586,0.011648623,0.992974906
411,0.968452896,0.999411137,0.999460876,0.964917041,0.998293748,0.017160586,0.011548623,0.993044755
412,0.954129534,0.999416652,0.999460974,0.965279642,0.998164263,0.017160586,0.011448623,0.993114604
413,0.939806172,0.999422168,0.999461073,0.965642243,0.998034778,0.017160586,0.011348623,0.993184453
414,0.92548281,0.999427684,0.999461171,0.966004844,0.997905294,0.017160586,0.011248623,0.993254302
415,0.911159447,0.999433199,0.999461269,0.966367445,0.997775809,0.017160586,0.011148623,0.993324151
416,0.896836085,0.999438715,0.999461368,0.966730046,0.997646324,0.017160586,0.011048623,0.993394
417,0.882512723,0.999444231,0.999461466,0.967092647,0.997516839,0.017160586,0.010948623,0.99346385
418,0.868189361,0.999449746,0.999461565,0.967455248,0.997387355,0.017160586,0.010848623,0.993533699
419,0.853865998,0.999455262,0.999461663,0.967817849,0.99725787,0.017160586,0.010748623,0.993603548
420,0.839542636,0.999460777,0.999461761,0.96818045,0.997128385,0.017160586,0.010648623,0.993673397
421,0.820286065,0.999460876,0.999413638,0.968070536,0.993134185,0.017160586,0.010548623,0.993719036
422,0.801029495,0.999460974,0.999365516,0.967960621,0.989139984,0.017160586,0.010448623,0.993764675
423,0.781772924,0.999461073,0.999317393,0.967850707,0.985145783,0.017160586,0.010348623,0.993810314
424,0.762516353,0.999461171,0.99926927,0.967740792,0.981151583,0.017160586,0.010248623,0.993855953
425,0.743259782,0.999461269,0.999221147,0.967630877,0.977157382,0.017160586,0.010148623,0.993901592
426,0.724003211,0.999461368,0.999173024,0.967520963,0.973163181,0.017160586,0.010048623,0.993947232
427,0.704746641,0.999461466,0.999124901,0.967411048,0.969168981,0.017160586,0.009948623,0.993992871
428,0.68549007,0.999461565,0.999076779,0.967301134,0.96517478,0.017160586,0.009848623,0.99403851
429,0.666233499,0.999461663,0.999028656,0.967191219,0.961180579,0.017160586,0.009748623,0.994084149
430,0.646976928,0.999461761,0.998980533,0.967081304,0.957186379,0.017160586,0.009648623,0.994129788
431,0.622020374,0.999413638,0.998288901,0.967431753,0.961310064,0.017160586,0.009548623,0.99417088
432,0.59706382,0.999365516,0.997597269,0.967782201,0.965433749,0.017160586,0.009448623,0.994211971
433,0.572107265,0.999317393,0.996905636,0.96813265,0.969557435,0.017160586,0.009348623,0.994253063
434,0.547150711,0.99926927,0.996214004,0.968483098,0.97368112,0.017160586,0.009248623,0.994294154
435,0.522194157,0.999221147,0.995522372,0.968833546,0.977804806,0.017160586,0.009148623,0.994335246
436,0.497237602,0.999173024,0.99483074,0.969183995,0.981928491,0.017160586,0.009048623,0.994376337
437,0.472281048,0.999124901,0.994139108,0.969534443,0.986052176,0.017160586,0.008948623,0.994417429
438,0.447324494,0.999076779,0.993447475,0.969884891,0.990175862,0.017160586,0.008848623,0.99445852
439,0.42236794,0.999028656,0.992755843,0.97023534,0.994299547,0.017160586,0.008748623,0.994499612
440,0.397411385,0.998980533,0.992064211,0.970585788,0.998423233,0.017160586,0.008648623,0.994540703
441,0.365851352,0.998288901,0.992349543,0.970550749,0.998423233,0.017160586,0.008548623,0.994581795
442,0.334291319,0.997597269,0.992634875,0.970515709,0.998423233,0.017160586,0.008448623,0.994622886
443,0.302731286,0.996905636,0.992920207,0.970480669,0.998423233,0.017160586,0.008348623,0.994663978
444,0.271171253,0.996214004,0.99320554,0.97044563,0.998423233,0.017160586,0.008248623,0.994705069
445,0.23961122,0.995522372,0.993490872,0.97041059,0.998423233,0.017160586,0.008148623,0.994746161
446,0.208051187,0.99483074,0.993776204,0.97037555,0.998423233,0.017160586,0.008048623,0.994787252
447,0.176491154,0.994139108,0.994061536,0.970340511,0.998423233,0.017160586,0.007948623,0.994828344
448,0.144931121,0.993447475,0.994346868,0.970305471,0.998423233,0.017160586,0.007848623,0.994869435
449,0.113371088,0.992755843,0.994632201,0.970270431,0.998423233,0.017160586,0.007748623,0.994910527
450,0.081811055,0.992064211,0.994917533,0.970235392,0.998423233,0.017160586,0.007648623,0.994951618
451,0.081285013,0.896405658,0.960835572,0.970500849,0.998498589,0.017160586,0.007548623,0.994986854
452,0.080758971,0.800747106,0.926753611,0.970766306,0.998573946,0.017160586,0.007448623,0.99502209
453,0.080232929,0.705088553,0.89267165,0.971031763,0.998649303,0.017160586,0.007348623,0.995057326
454,0.079706887,0.609430001,0.858589689,0.97129722,0.998724659,0.017160586,0.007248623,0.995092563
455,0.079180845,0.513771448,0.824507728,0.971562677,0.998800016,0.017160586,0.007148623,0.995127799
456,0.078654803,0.418112896,0.790425767,0.971828134,0.998875373,0.017160586,0.007048623,0.995163035
457,0.078128761,0.322454343,0.756343806,0.972093591,0.998950729,0.017160586,0.006948623,0.995198271
458,0.077602718,0.226795791,0.722261846,0.972359048,0.999026086,0.017160586,0.006848623,0.995233507
459,0.077076676,0.131137238,0.688179885,0.972624505,0.999101442,0.017160586,0.006748623,0.995268743
460,0.076550634,0.035478686,0.654097924,0.972889962,0.999176799,0.017160586,0.006648623,0.995303979
461,0.076639934,0.035258838,0.648367569,0.973054734,0.999199681,0.017160586,0.103597143,0.995339066
462,0.076729233,0.03503899,0.642637214,0.973219505,0.999222564,0.017160586,0.200545663,0.995374153
463,0.076818532,0.034819142,0.636906859,0.973384277,0.999245446,0.017160586,0.297494183,0.99540924
464,0.076907832,0.034599295,0.631176504,0.973549048,0.999268328,0.017160586,0.394442703,0.995444326
465,0.076997131,0.034379447,0.625446148,0.97371382,0.99929121,0.017160586,0.491391223,0.995479413
466,0.07708643,0.034159599,0.619715793,0.973878592,0.999314092,0.017160586,0.588339743,0.9955145
467,0.07717573,0.033939751,0.613985438,0.974043363,0.999336975,0.017160586,0.685288263,0.995549587
468,0.077265029,0.033719903,0.608255083,0.974208135,0.999359857,0.017160586,0.782236783,0.995584674
469,0.077354328,0.033500055,0.602524728,0.974372906,0.999382739,0.017160586,0.879185303,0.995619761
470,0.077443628,0.033280208,0.596794373,0.974537678,0.999405621,0.017160586,0.976133823,0.995654847
471,0.08716814,0.032647992,0.593365565,0.97470245,0.999411137,0.016319786,0.977682662,0.995670438
472,0.096892652,0.032015777,0.589936758,0.974867221,0.999416652,0.015478986,0.979231501,0.995686029
473,0.106617164,0.031383562,0.58650795,0.975031993,0.999422168,0.014638186,0.980780339,0.99570162
474,0.116341676,0.030751347,0.583079142,0.975196764,0.999427684,0.013797386,0.982329178,0.995717211
475,0.126066188,0.030119131,0.579650335,0.975361536,0.999433199,0.012956586,0.983878017,0.995732802
476,0.1357907,0.029486916,0.576221527,0.975526308,0.999438715,0.012115786,0.985426856,0.995748393
477,0.145515212,0.028854701,0.572792719,0.975691079,0.999444231,0.011274986,0.986975694,0.995763984
478,0.155239724,0.028222486,0.569363911,0.975855851,0.999449746,0.010434187,0.988524533,0.995779576
479,0.164964236,0.02759027,0.565935104,0.976020622,0.999455262,0.009593387,0.990073372,0.995795167
480,0.174688748,0.026958055,0.562506296,0.976185394,0.999460777,0.008752587,0.991622211,0.995810758
481,0.164054219,0.026820154,0.507971725,0.976350166,0.999460876,0.008270001,0.894176048,0.995835273
482,0.15341969,0.026682254,0.453437154,0.976514937,0.999460974,0.007787415,0.796729886,0.995859789
483,0.142785161,0.026544353,0.398902583,0.976679709,0.999461073,0.007304829,0.699283723,0.995884304
484,0.132150632,0.026406453,0.344368012,0.976844481,0.999461171,0.006822243,0.601837561,0.99590882
485,0.121516103,0.026268552,0.289833441,0.977009252,0.999461269,0.006339657,0.504391398,0.995933335
486,0.110881574,0.026130651,0.23529887,0.977174024,0.999461368,0.005857071,0.406945236,0.995957851
487,0.100247045,0.025992751,0.180764299,0.977338795,0.999461466,0.005374485,0.309499074,0.995982366
488,0.089612516,0.02585485,0.126229728,0.977503567,0.999461565,0.004891899,0.212052911,0.996006882
489,0.078977987,0.025716949,0.071695157,0.977668339,0.999461663,0.004409313,0.114606749,0.996031397
490,0.068343458,0.025579049,0.017160586,0.97783311,0.999461761,0.003926727,0.017160586,0.996055913
491,0.06759136,0.025614725,0.017060586,0.977997882,0.999413638,0.003671167,0.017060586,0.996070175
492,0.066839261,0.025650401,0.016960586,0.978162653,0.999365516,0.003415606,0.016960586,0.996084438
493,0.066087162,0.025686077,0.016860586,0.978327425,0.999317393,0.003160046,0.016860586,0.996098701
494,0.065335063,0.025721753,0.016760586,0.978492197,0.99926927,0.002904486,0.016760586,0.996112963
495,0.064582965,0.025757429,0.016660586,0.978656968,0.999221147,0.002648926,0.016660586,0.996127226
496,0.063830866,0.025793105,0.016560586,0.97882174,0.999173024,0.002393365,0.016560586,0.996141489
497,0.063078767,0.025828781,0.016460586,0.978986511,0.999124901,0.002137805,0.016460586,0.996155751
498,0.062326668,0.025864457,0.016360586,0.979151283,0.999076779,0.001882245,0.016360586,0.996170014
499,0.06157457,0.025900134,0.016260586,0.979316055,0.999028656,0.001626685,0.016260586,0.996184277
500,0.060822471,0.02593581,0.016160586,0.979480826,0.998980533,0.001371124,0.016160586,0.996198539
501,0.060586549,0.025563515,0.016060586,0.979645598,0.998288901,0.001236526,0.016060586,0.996212598
502,0.060350628,0.025191219,0.015960586,0.97981037,0.997597269,0.001101927,0.015960586,0.996226657
503,0.060114707,0.024818924,0.015860586,0.979975141,0.996905636,0.000967329,0.015860586,0.996240715
504,0.059878785,0.024446629,0.015760586,0.980139913,0.996214004,0.00083273,0.015760586,0.996254774
505,0.059642864,0.024074334,0.015660586,0.980304684,0.995522372,0.000698131,0.015660586,0.996268832
506,0.059406943,0.023702039,0.015560586,0.980469456,0.99483074,0.000563533,0.015560586,0.996282891
507,0.059171021,0.023329744,0.015460586,0.980634228,0.994139108,0.000428934,0.015460586,0.99629695
508,0.0589351,0.022957449,0.015360586,0.980798999,0.993447475,0.000294336,0.015360586,0.996311008
509,0.058699178,0.022585153,0.015260586,0.980963771,0.992755843,0.000159737,0.015260586,0.996325067
510,0.058463257,0.022212858,0.015160586,0.981128542,0.992064211,2.51386E-05,0.015160586,0.996339126
511,0.058481712,0.023416006,0.015060586,0.981293314,0.992349543,7.19046E-05,0.015060586,0.996352565
512,0.058500168,0.024619153,0.014960586,0.981458086,0.992634875,0.000118671,0.014960586,0.996366005
513,0.058518623,0.0258223,0.014860586,0.981622857,0.992920207,0.000165437,0.014860586,0.996379445
514,0.058537078,0.027025447,0.014760586,0.981787629,0.99320554,0.000212203,0.014760586,0.996392885
515,0.058555534,0.028228595,0.014660586,0.9819524,0.993490872,0.000258968,0.014660586,0.996406325
516,0.058573989,0.029431742,0.014560586,0.982117172,0.993776204,0.000305734,0.014560586,0.996419764
517,0.058592444,0.030634889,0.014460586,0.982281944,0.994061536,0.0003525,0.014460586,0.996433204
518,0.058610899,0.031838037,0.014360586,0.982446715,0.994346868,0.000399266,0.014360586,0.996446644
519,0.058629355,0.033041184,0.014260586,0.982611487,0.994632201,0.000446032,0.014260586,0.996460084
520,0.05864781,0.034244331,0.014160586,0.982776259,0.994917533,0.000492798,0.014160586,0.996473524
521,0.058579744,0.034044032,0.014060586,0.968452896,0.995378288,0.000492798,0.014060586,0.996493958
522,0.058511678,0.033843732,0.013960586,0.954129534,0.995839042,0.000492798,0.013960586,0.996514393
523,0.058443612,0.033643432,0.013860586,0.939806172,0.996299797,0.000492798,0.013860586,0.996534827
524,0.058375547,0.033443133,0.013760586,0.92548281,0.996760552,0.000492798,0.013760586,0.996555262
525,0.058307481,0.033242833,0.013660586,0.911159447,0.997221307,0.000492798,0.013660586,0.996575697
526,0.058239415,0.033042533,0.013560586,0.896836085,0.997682062,0.000492798,0.013560586,0.996596131
527,0.058171349,0.032842234,0.013460586,0.882512723,0.998142817,0.000492798,0.013460586,0.996616566
528,0.058103283,0.032641934,0.013360586,0.868189361,0.998603571,0.000492798,0.013360586,0.996637
529,0.058035217,0.032441634,0.013260586,0.853865998,0.999064326,0.000492798,0.013260586,0.996657435
530,0.057967151,0.032241335,0.013160586,0.839542636,0.999525081,0.000492798,0.013160586,0.99667787
531,0.058285621,0.03256507,0.013060586,0.820286065,0.99955334,0.000492798,0.013060586,0.996688741
532,0.05860409,0.032888805,0.012960586,0.801029495,0.999581599,0.000492798,0.012960586,0.996699613
533,0.058922559,0.03321254,0.012860586,0.781772924,0.999609858,0.000492798,0.012860586,0.996710485
534,0.059241029,0.033536275,0.012760586,0.762516353,0.999638117,0.000492798,0.012760586,0.996721357
535,0.059559498,0.03386001,0.012660586,0.743259782,0.999666376,0.000492798,0.012660586,0.996732229
536,0.059877968,0.034183745,0.012560586,0.724003211,0.999694635,0.000492798,0.012560586,0.9967431
537,0.060196437,0.034507481,0.012460586,0.704746641,0.999722894,0.000492798,0.012460586,0.996753972
538,0.060514907,0.034831216,0.012360586,0.68549007,0.999751153,0.000492798,0.012360586,0.996764844
539,0.060833376,0.035154951,0.012260586,0.666233499,0.999779412,0.000492798,0.012260586,0.996775716
540,0.061151845,0.035478686,0.012160586,0.646976928,0.999807671,0.000492798,0.012160586,0.996786587
541,0.060672032,0.035258838,0.012060586,0.626689272,0.999820466,0.000492798,0.012060586,0.996799809
542,0.060192219,0.03503899,0.011960586,0.606401617,0.999833261,0.000492798,0.011960586,0.99681303
543,0.059712406,0.034819142,0.011860586,0.586113961,0.999846056,0.000492798,0.011860586,0.996826251
544,0.059232593,0.034599295,0.011760586,0.565826305,0.99985885,0.000492798,0.011760586,0.996839472
545,0.05875278,0.034379447,0.011660586,0.545538649,0.999871645,0.000492798,0.011660586,0.996852694
546,0.058272967,0.034159599,0.011560586,0.525250993,0.99988444,0.000492798,0.011560586,0.996865915
547,0.057793154,0.033939751,0.011460586,0.504963338,0.999897235,0.000492798,0.011460586,0.996879136
548,0.057313341,0.033719903,0.011360586,0.484675682,0.99991003,0.000492798,0.011360586,0.996892357
549,0.056833528,0.033500055,0.011260586,0.464388026,0.999922825,0.000492798,0.011260586,0.996905578
550,0.056353714,0.033280208,0.011160586,0.44410037,0.999935619,0.000492798,0.011160586,0.9969188
551,0.055959227,0.032647992,0.011060586,0.42555805,0.955938023,0.099086309,0.011060586,0.996926469
552,0.05556474,0.032015777,0.010960586,0.407015731,0.911940427,0.197679819,0.010960586,0.996934139
553,0.055170253,0.031383562,0.010860586,0.388473411,0.867942831,0.296273329,0.010860586,0.996941809
554,0.054775765,0.030751347,0.010760586,0.369931091,0.823945235,0.394866839,0.010760586,0.996949479
555,0.054381278,0.030119131,0.010660586,0.351388771,0.779947639,0.493460349,0.010660586,0.996957148
556,0.053986791,0.029486916,0.010560586,0.332846451,0.735950043,0.592053859,0.010560586,0.996964818
557,0.053592303,0.028854701,0.010460586,0.314304131,0.691952447,0.69064737,0.010460586,0.996972488
558,0.053197816,0.028222486,0.010360586,0.295761811,0.647954851,0.78924088,0.010360586,0.996980158
559,0.052803329,0.02759027,0.010260586,0.277219491,0.603957255,0.88783439,0.010260586,0.996987827
