Wavelength(nm)	n	k
250	0.156	2.296
260	0.169	2.36
270	0.178	2.487
280	0.184	2.585
290	0.198	2.697
300	0.212	2.808
310	0.22	2.915
320	0.234	3.022
330	0.253	3.135
340	0.26	3.243
350	0.278	3.349
360	0.284	3.458
370	0.31	3.561
380	0.319	3.672
390	0.336	3.78
400	0.371	3.885
410	0.378	3.996
420	0.39	4.122
430	0.427	4.221
440	0.443	4.342
450	0.483	4.446
460	0.496	4.533
470	0.523	4.656
480	0.546	4.751
490	0.564	4.859
500	0.604	4.969
510	0.627	5.086
520	0.659	5.172
530	0.676	5.27
540	0.697	5.348
550	0.738	5.43
560	0.778	5.532
570	0.804	5.626
580	0.846	5.735
590	0.88	5.857
600	0.912	5.953
610	0.936	6.022
620	0.992	6.093
630	1.054	6.202
640	1.087	6.266
650	1.145	6.352
660	1.176	6.43
670	1.209	6.508
680	1.292	6.583
690	1.355	6.656
700	1.408	6.727
710	1.459	6.805
720	1.529	6.858
730	1.609	6.896
740	1.677	6.955
750	1.755	7.002
760	1.844	7.037
770	1.892	7.05
780	1.974	7.056
790	2.048	7.047
800	2.114	7.02
810	2.152	6.974
820	2.157	6.949
830	2.137	6.864
840	2.08	6.789
850	2.002	6.702
860	1.88	6.694
870	1.774	6.676
880	1.678	6.736
890	1.588	6.666
900	1.357	6.541
