Wavelength(nm)	n	k
190.75	1.5038	0
193.73	1.5008	0
196.8	1.498	0
199.98	1.4952	0
203.25	1.4925	0
206.64	1.4899	0
210.14	1.4874	0
213.77	1.4849	0
217.52	1.4826	0
221.4	1.4803	0
225.43	1.4781	0
229.6	1.476	0
233.93	1.4739	0
238.43	1.4719	0
243.11	1.4699	0
247.97	1.468	0
253.03	1.4662	0
258.3	1.4645	0
263.8	1.4627	0
269.53	1.4611	0
275.52	1.4595	0
281.78	1.4579	0
288.34	1.4564	0
295.2	1.455	0
302.4	1.4536	0
309.96	1.4522	0
317.91	1.4509	0
326.28	1.4496	0
335.1	1.4484	0
344.4	1.4472	0
354.24	1.4461	0
364.66	1.4449	0
375.71	1.4439	0
387.45	1.4429	0
399.95	1.4419	0
413.28	1.4409	0
427.54	1.44	0
442.8	1.4391	0
459.2	1.4382	0
476.87	1.4374	0
495.94	1.4366	0
516.6	1.4359	0
539.07	1.4351	0
563.57	1.4345	0
590.41	1.4338	0
619.93	1.4331	0
652.55	1.4325	0
688.81	1.4319	0
729.32	1.4314	0
774.91	1.4308	0
826.57	1.4303	0
885.61	1.4297	0
953.73	1.4292	0
1033.21	1.4287	0
1127.14	1.4281	0
1239.85	1.4275	0
