Wavelength(nm)	n	k
380	1.4897	0
390	1.487	0
400	1.485	0
410	1.4834	0
420	1.4821	0
430	1.481	0
440	1.48	0
450	1.4792	0
460	1.4784	0
470	1.4776	0
480	1.4769	0
490	1.4762	0
500	1.4756	0
510	1.475	0
520	1.4743	0
530	1.4737	0
540	1.4732	0
550	1.4726	0
560	1.4721	0
570	1.4716	0
580	1.471	0
590	1.4706	0
600	1.4701	0
610	1.4697	0
620	1.4692	0
630	1.4688	0
640	1.4684	0
650	1.468	0
660	1.4677	0
670	1.4673	0
680	1.467	0
690	1.4667	0
700	1.4664	0
710	1.4661	0
720	1.4658	0
730	1.4656	0
740	1.4653	0
750	1.4651	0
760	1.4648	0
770	1.4646	0
780	1.4644	0
790	1.4642	0
800	1.464	0
810	1.4638	0
820	1.4636	0
830	1.4635	0
840	1.4633	0
850	1.4631	0
860	1.463	0
870	1.4628	0
880	1.4627	0
890	1.4625	0
900	1.4624	0
910	1.4623	0
920	1.4622	0
930	1.462	0
940	1.4619	0
950	1.4618	0
960	1.4617	0
970	1.4616	0
980	1.4615	0
990	1.4614	0
1000	1.4613	0
1010	1.4612	0
1020	1.4611	0
1030	1.461	0
1040	1.4609	0
1050	1.4608	0
