Wavelength(nm)	n	k
250	1.2238	1.7446
260.83	1.2244	1.8052
271.67	1.2186	1.8766
282.5	1.2082	1.9587
293.33	1.2113	2.0478
304.17	1.222	2.1421
315	1.2306	2.2319
325.83	1.2516	2.3242
336.67	1.2702	2.4198
347.5	1.291	2.5128
358.33	1.3101	2.5992
369.17	1.3237	2.6963
380	1.3544	2.8135
390.83	1.414	2.918
401.67	1.4626	3.0167
412.5	1.5169	3.1037
423.33	1.5762	3.1926
434.17	1.6353	3.2793
445	1.6969	3.3627
455.83	1.7669	3.4387
466.67	1.8217	3.509
477.5	1.8837	3.5795
488.33	1.9507	3.6435
499.17	2.0202	3.7154
510	2.0859	3.7772
520.83	2.1465	3.8441
531.67	2.206	3.8923
542.5	2.2781	3.9487
553.33	2.3316	3.9965
564.17	2.4016	4.0501
575	2.4613	4.1014
585.83	2.531	4.1452
596.67	2.5922	4.1877
607.5	2.6648	4.2355
618.33	2.7365	4.2681
629.17	2.7956	4.2973
640	2.8594	4.3356
650.83	2.9161	4.3699
661.67	2.9693	4.399
672.5	3.0299	4.4196
683.33	3.0979	4.4517
694.17	3.151	4.4619
705	3.1983	4.4948
715.83	3.2544	4.5207
726.67	3.3076	4.5614
737.5	3.3525	4.5646
748.33	3.3964	4.5897
759.17	3.4431	4.6094
770	3.4911	4.6434
780.83	3.5424	4.6647
791.67	3.585	4.6916
802.5	3.6279	4.7181
813.33	3.6696	4.7396
824.17	3.7257	4.7706
835	3.7487	4.7787
845.83	3.787	4.817
856.67	3.8029	4.8325
867.5	3.853	4.8628
878.33	3.8858	4.8732
889.17	3.8996	4.892
900	3.8499	4.7659
