Wavelength(nm)	n	k
250	2.12	0
263	2.1	0
275	2.09	0
288	2.07	0
300	2.06	0
313	2.05	0
325	2.04	0
338	2.02	0
350	2.02	0
363	2.01	0
375	2	0
388	1.99	0
400	1.98	0
413	1.98	0
425	1.97	0
438	1.96	0
450	1.96	0
463	1.95	0
475	1.95	0
488	1.95	0
500	1.94	0
513	1.94	0
525	1.94	0
538	1.93	0
550	1.93	0
563	1.93	0
575	1.92	0
588	1.92	0
600	1.92	0
613	1.92	0
625	1.91	0
638	1.91	0
650	1.91	0
663	1.91	0
675	1.91	0
688	1.91	0
700	1.9	0
713	1.9	0
725	1.9	0
738	1.9	0
750	1.9	0
763	1.9	0
775	1.9	0
788	1.9	0
800	1.89	0
813	1.89	0
825	1.89	0
838	1.89	0
850	1.89	0
863	1.89	0
875	1.89	0
888	1.89	0
900	1.89	0
