Wavelength(nm)	n	k
206.67	1.6951	0
208.4	1.684	0
210.17	1.6747	0
211.97	1.667	0
213.79	1.6605	0
215.65	1.6551	0
217.54	1.6505	0
219.47	1.6462	0
221.43	1.6415	0
223.42	1.6367	0
225.45	1.632	0
227.52	1.6274	0
229.63	1.623	0
231.78	1.6188	0
233.96	1.6147	0
236.19	1.6107	0
238.46	1.6068	0
240.78	1.6031	0
243.14	1.5994	0
245.54	1.5959	0
248	1.5925	0
250.51	1.5891	0
253.06	1.5859	0
255.67	1.5827	0
258.33	1.5796	0
261.05	1.5766	0
263.83	1.5737	0
266.67	1.5709	0
269.57	1.5682	0
272.53	1.5655	0
275.56	1.5629	0
278.65	1.5603	0
281.82	1.5578	0
285.06	1.5554	0
288.37	1.5531	0
291.76	1.5508	0
295.24	1.5485	0
298.8	1.5463	0
302.44	1.5442	0
306.17	1.5421	0
310	1.5401	0
313.92	1.5381	0
317.95	1.5362	0
322.08	1.5343	0
326.32	1.5324	0
330.67	1.5306	0
335.14	1.5289	0
339.73	1.5272	0
344.44	1.5255	0
349.3	1.5238	0
354.29	1.5221	0
359.42	1.5205	0
364.71	1.5192	0
370.15	1.5177	0
375.76	1.5162	0
381.54	1.5148	0
387.5	1.5134	0
393.65	1.512	0
400	1.5107	0
406.56	1.5094	0
413.33	1.5082	0
420.34	1.507	0
427.59	1.5058	0
435.09	1.5046	0
442.86	1.5034	0
450.91	1.5023	0
459.26	1.5012	0
467.92	1.5005	0
476.92	1.4995	0
486.27	1.4982	0
496	1.497	0
506.12	1.4962	0
516.67	1.4953	0
527.66	1.4944	0
539.13	1.4935	0
551.11	1.4926	0
563.64	1.4918	0
576.74	1.491	0
590.48	1.4902	0
604.88	1.4894	0
620	1.4887	0
635.9	1.488	0
652.63	1.4873	0
670.27	1.4866	0
688.89	1.4859	0
708.57	1.4853	0
729.41	1.4847	0
751.52	1.4841	0
775	1.4835	0
800	1.4829	0
826.67	1.4824	0
855.17	1.4818	0
885.71	1.4813	0
918.52	1.4808	0
953.85	1.4804	0
992	1.4799	0
1033.33	1.4795	0
1078.26	1.4791	0
1127.27	1.4786	0
1180.95	1.4783	0
1240	1.4779	0
1305.26	1.4776	0
1377.78	1.4773	0
1458.82	1.4771	0
1550	1.477	0
1653.33	1.4769	0
1771.43	1.4769	0
1907.69	1.477	0
2066.67	1.4771	0
2254.55	1.4775	0
2480	1.4777	0
