Wavelength(nm)	n	k
177.1	1.23	1.96
182.3	1.24	2.04
187.9	1.26	2.14
193.7	1.31	2.25
200	1.38	2.38
206.6	1.49	2.49
213.8	1.63	2.6
221.4	1.81	2.67
229.6	2	2.68
238.4	2.16	2.62
248	2.26	2.57
258.3	2.32	2.52
269.5	2.39	2.56
281.8	2.53	2.56
295.2	2.64	2.42
310	2.64	2.33
317.9	2.62	2.29
326.3	2.59	2.28
335.1	2.56	2.27
344.4	2.52	2.29
354.2	2.48	2.33
364.7	2.46	2.38
375.7	2.44	2.45
387.5	2.45	2.53
399.9	2.48	2.6
413.3	2.51	2.68
435	2.58	2.8
450.9	2.66	2.86
467.9	2.74	2.9
486.2	2.83	2.92
506.1	2.89	2.9
527.6	2.92	2.88
551	2.93	2.87
576.7	2.92	2.87
604.8	2.89	2.87
635.8	2.82	2.86
670.2	2.69	2.89
708.5	2.54	2.99
751.4	2.36	3.13
799.9	2.15	3.37
855.1	1.95	3.68
918.4	1.76	4.13
991.9	1.65	4.63
1078	1.55	5.18
1181	1.44	5.86
1305	1.35	6.7
1459	1.35	7.74
1653	1.41	9
1907	1.57	10.6
2254	1.83	12.7
2755	2.28	15.6
