Wavelength(nm)	n	k
325	1.59097	0
330	1.58935	0
335	1.58781	0
340	1.58636	0
345	1.58498	0
350	1.58368	0
355	1.58243	0
360	1.58125	0
365	1.58012	0
370	1.57904	0
375	1.57802	0
380	1.57703	0
385	1.5761	0
390	1.5752	0
395	1.57434	0
400	1.57351	0
405	1.57272	0
410	1.57196	0
415	1.57123	0
420	1.57053	0
425	1.56986	0
430	1.56921	0
435	1.56858	0
440	1.56798	0
445	1.5674	0
450	1.56684	0
455	1.5663	0
460	1.56577	0
465	1.56527	0
470	1.56478	0
475	1.56431	0
480	1.56385	0
485	1.56341	0
490	1.56298	0
495	1.56257	0
500	1.56217	0
505	1.56178	0
510	1.5614	0
515	1.56103	0
520	1.56068	0
525	1.56033	0
530	1.55999	0
535	1.55967	0
540	1.55935	0
545	1.55904	0
550	1.55874	0
555	1.55844	0
560	1.55816	0
565	1.55788	0
570	1.55761	0
575	1.55735	0
580	1.55709	0
585	1.55684	0
590	1.55659	0
595	1.55635	0
600	1.55612	0
605	1.55589	0
610	1.55567	0
615	1.55545	0
620	1.55524	0
625	1.55503	0
630	1.55483	0
635	1.55463	0
640	1.55443	0
645	1.55424	0
650	1.55405	0
655	1.55387	0
660	1.55369	0
665	1.55352	0
670	1.55334	0
675	1.55318	0
680	1.55301	0
685	1.55285	0
690	1.55269	0
695	1.55253	0
700	1.55238	0
705	1.55223	0
710	1.55208	0
715	1.55193	0
720	1.55179	0
725	1.55165	0
730	1.55151	0
735	1.55138	0
740	1.55124	0
745	1.55111	0
750	1.55098	0
755	1.55086	0
760	1.55073	0
765	1.55061	0
770	1.55049	0
775	1.55037	0
780	1.55025	0
785	1.55013	0
790	1.55002	0
795	1.54991	0
800	1.54979	0
805	1.54968	0
810	1.54958	0
815	1.54947	0
820	1.54936	0
825	1.54926	0
830	1.54916	0
835	1.54906	0
840	1.54896	0
845	1.54886	0
850	1.54876	0
855	1.54866	0
860	1.54857	0
865	1.54847	0
870	1.54838	0
875	1.54829	0
880	1.5482	0
885	1.5481	0
890	1.54802	0
895	1.54793	0
900	1.54784	0
905	1.54775	0
910	1.54767	0
915	1.54758	0
920	1.5475	0
925	1.54741	0
930	1.54733	0
935	1.54725	0
940	1.54717	0
945	1.54709	0
950	1.54701	0
955	1.54693	0
960	1.54685	0
965	1.54677	0
970	1.5467	0
975	1.54662	0
980	1.54654	0
985	1.54647	0
990	1.54639	0
995	1.54632	0
1000	1.54624	0
1005	1.54617	0
1010	1.5461	0
1015	1.54603	0
1020	1.54595	0
1025	1.54588	0
1030	1.54581	0
1035	1.54574	0
1040	1.54567	0
1045	1.5456	0
1050	1.54553	0
1055	1.54546	0
1060	1.5454	0
1065	1.54533	0
1070	1.54526	0
