Wavelength(nm)	n	k
365	1.79083	0
370	1.78918	0
375	1.7876	0
380	1.78609	0
385	1.78465	0
390	1.78327	0
395	1.78194	0
400	1.78068	0
405	1.77946	0
410	1.7783	0
415	1.77718	0
420	1.7761	0
425	1.77507	0
430	1.77407	0
435	1.77311	0
440	1.77219	0
445	1.7713	0
450	1.77044	0
455	1.76961	0
460	1.76882	0
465	1.76804	0
470	1.7673	0
475	1.76658	0
480	1.76588	0
485	1.7652	0
490	1.76455	0
495	1.76392	0
500	1.7633	0
505	1.76271	0
510	1.76213	0
515	1.76157	0
520	1.76103	0
525	1.7605	0
530	1.75999	0
535	1.75949	0
540	1.75901	0
545	1.75854	0
550	1.75808	0
555	1.75763	0
560	1.7572	0
565	1.75678	0
570	1.75636	0
575	1.75596	0
580	1.75557	0
585	1.75519	0
590	1.75482	0
595	1.75445	0
600	1.7541	0
605	1.75375	0
610	1.75342	0
615	1.75309	0
620	1.75276	0
625	1.75245	0
630	1.75214	0
635	1.75184	0
640	1.75154	0
645	1.75125	0
650	1.75097	0
655	1.75069	0
660	1.75042	0
665	1.75016	0
670	1.7499	0
675	1.74964	0
680	1.74939	0
685	1.74915	0
690	1.7489	0
695	1.74867	0
700	1.74844	0
705	1.74821	0
710	1.74799	0
715	1.74777	0
720	1.74755	0
725	1.74734	0
730	1.74713	0
735	1.74692	0
740	1.74672	0
745	1.74653	0
750	1.74633	0
755	1.74614	0
760	1.74595	0
765	1.74576	0
770	1.74558	0
775	1.7454	0
780	1.74522	0
785	1.74505	0
790	1.74488	0
795	1.74471	0
800	1.74454	0
805	1.74438	0
810	1.74421	0
815	1.74405	0
820	1.74389	0
825	1.74374	0
830	1.74358	0
835	1.74343	0
840	1.74328	0
845	1.74313	0
850	1.74299	0
855	1.74284	0
860	1.7427	0
865	1.74256	0
870	1.74242	0
875	1.74228	0
880	1.74214	0
885	1.74201	0
890	1.74187	0
895	1.74174	0
900	1.74161	0
905	1.74148	0
910	1.74135	0
915	1.74122	0
920	1.7411	0
925	1.74097	0
930	1.74085	0
935	1.74073	0
940	1.74061	0
945	1.74049	0
950	1.74037	0
955	1.74025	0
960	1.74013	0
965	1.74002	0
970	1.7399	0
975	1.73979	0
980	1.73967	0
985	1.73956	0
990	1.73945	0
995	1.73934	0
1000	1.73923	0
1005	1.73912	0
1010	1.73901	0
1015	1.7389	0
1020	1.7388	0
1025	1.73869	0
1030	1.73859	0
1035	1.73848	0
1040	1.73838	0
1045	1.73827	0
1050	1.73817	0
1055	1.73807	0
1060	1.73797	0
1065	1.73787	0
1070	1.73777	0
1075	1.73767	0
1080	1.73757	0
1085	1.73747	0
1090	1.73737	0
1095	1.73727	0
1100	1.73717	0
1105	1.73708	0
1110	1.73698	0
1115	1.73688	0
1120	1.73679	0
1125	1.73669	0
1130	1.7366	0
1135	1.7365	0
1140	1.73641	0
1145	1.73632	0
1150	1.73622	0
1155	1.73613	0
1160	1.73604	0
1165	1.73594	0
1170	1.73585	0
1175	1.73576	0
1180	1.73567	0
1185	1.73558	0
1190	1.73549	0
1195	1.7354	0
1200	1.73531	0
1205	1.73522	0
1210	1.73513	0
1215	1.73504	0
1220	1.73495	0
1225	1.73486	0
1230	1.73477	0
1235	1.73468	0
1240	1.73459	0
1245	1.7345	0
1250	1.73442	0
1255	1.73433	0
1260	1.73424	0
1265	1.73415	0
1270	1.73406	0
1275	1.73398	0
1280	1.73389	0
1285	1.7338	0
1290	1.73372	0
1295	1.73363	0
1300	1.73354	0
1305	1.73346	0
1310	1.73337	0
1315	1.73328	0
1320	1.7332	0
1325	1.73311	0
1330	1.73302	0
1335	1.73294	0
1340	1.73285	0
1345	1.73277	0
1350	1.73268	0
1355	1.73259	0
1360	1.73251	0
1365	1.73242	0
1370	1.73234	0
1375	1.73225	0
1380	1.73217	0
1385	1.73208	0
1390	1.732	0
1395	1.73191	0
1400	1.73182	0
1405	1.73174	0
1410	1.73165	0
1415	1.73157	0
1420	1.73148	0
1425	1.7314	0
1430	1.73131	0
1435	1.73123	0
1440	1.73114	0
1445	1.73106	0
1450	1.73097	0
1455	1.73089	0
1460	1.7308	0
1465	1.73071	0
1470	1.73063	0
1475	1.73054	0
1480	1.73046	0
1485	1.73037	0
1490	1.73029	0
1495	1.7302	0
1500	1.73012	0
1505	1.73003	0
1510	1.72994	0
1515	1.72986	0
1520	1.72977	0
1525	1.72969	0
1530	1.7296	0
1535	1.72951	0
1540	1.72943	0
1545	1.72934	0
1550	1.72925	0
1555	1.72917	0
1560	1.72908	0
1565	1.72899	0
1570	1.72891	0
1575	1.72882	0
1580	1.72873	0
1585	1.72865	0
1590	1.72856	0
1595	1.72847	0
1600	1.72839	0
1605	1.7283	0
1610	1.72821	0
1615	1.72812	0
1620	1.72804	0
1625	1.72795	0
1630	1.72786	0
1635	1.72777	0
1640	1.72768	0
1645	1.7276	0
1650	1.72751	0
1655	1.72742	0
1660	1.72733	0
1665	1.72724	0
1670	1.72715	0
1675	1.72706	0
1680	1.72697	0
1685	1.72689	0
1690	1.7268	0
1695	1.72671	0
1700	1.72662	0
1705	1.72653	0
1710	1.72644	0
1715	1.72635	0
1720	1.72626	0
1725	1.72617	0
1730	1.72608	0
1735	1.72599	0
1740	1.72589	0
1745	1.7258	0
1750	1.72571	0
1755	1.72562	0
1760	1.72553	0
1765	1.72544	0
1770	1.72535	0
1775	1.72525	0
1780	1.72516	0
1785	1.72507	0
1790	1.72498	0
1795	1.72488	0
1800	1.72479	0
1805	1.7247	0
1810	1.72461	0
1815	1.72451	0
1820	1.72442	0
1825	1.72433	0
1830	1.72423	0
1835	1.72414	0
1840	1.72404	0
1845	1.72395	0
1850	1.72385	0
1855	1.72376	0
1860	1.72367	0
1865	1.72357	0
1870	1.72347	0
1875	1.72338	0
1880	1.72328	0
1885	1.72319	0
1890	1.72309	0
1895	1.723	0
1900	1.7229	0
1905	1.7228	0
1910	1.72271	0
1915	1.72261	0
1920	1.72251	0
1925	1.72241	0
1930	1.72232	0
1935	1.72222	0
1940	1.72212	0
1945	1.72202	0
1950	1.72192	0
1955	1.72183	0
1960	1.72173	0
1965	1.72163	0
1970	1.72153	0
1975	1.72143	0
1980	1.72133	0
1985	1.72123	0
1990	1.72113	0
1995	1.72103	0
2000	1.72093	0
2005	1.72083	0
2010	1.72073	0
2015	1.72063	0
2020	1.72052	0
2025	1.72042	0
2030	1.72032	0
2035	1.72022	0
2040	1.72012	0
2045	1.72001	0
2050	1.71991	0
2055	1.71981	0
2060	1.7197	0
2065	1.7196	0
2070	1.7195	0
2075	1.71939	0
2080	1.71929	0
2085	1.71918	0
2090	1.71908	0
2095	1.71898	0
2100	1.71887	0
2105	1.71876	0
2110	1.71866	0
2115	1.71855	0
2120	1.71845	0
2125	1.71834	0
2130	1.71823	0
2135	1.71813	0
2140	1.71802	0
2145	1.71791	0
2150	1.71781	0
2155	1.7177	0
2160	1.71759	0
2165	1.71748	0
2170	1.71737	0
2175	1.71727	0
2180	1.71716	0
2185	1.71705	0
2190	1.71694	0
2195	1.71683	0
2200	1.71672	0
2205	1.71661	0
2210	1.7165	0
2215	1.71639	0
2220	1.71628	0
2225	1.71616	0
2230	1.71605	0
2235	1.71594	0
2240	1.71583	0
2245	1.71572	0
2250	1.7156	0
2255	1.71549	0
2260	1.71538	0
2265	1.71526	0
2270	1.71515	0
2275	1.71504	0
2280	1.71492	0
2285	1.71481	0
2290	1.71469	0
2295	1.71458	0
2300	1.71446	0
2305	1.71435	0
2310	1.71423	0
2315	1.71412	0
2320	1.714	0
2325	1.71388	0
