Wavelength(nm)	n	k
380	1.5521	0
390	1.5363	0
400	1.5252	0
410	1.5174	0
420	1.512	0
430	1.5082	0
440	1.5055	0
450	1.5035	0
460	1.502	0
470	1.5009	0
480	1.5	0
490	1.4992	0
500	1.4986	0
510	1.498	0
520	1.4974	0
530	1.4969	0
540	1.4964	0
550	1.4959	0
560	1.4954	0
570	1.4949	0
580	1.4945	0
590	1.4941	0
600	1.4937	0
610	1.4933	0
620	1.4929	0
630	1.4925	0
640	1.4922	0
650	1.4919	0
660	1.4916	0
670	1.4913	0
680	1.491	0
690	1.4908	0
700	1.4906	0
710	1.4903	0
720	1.4901	0
730	1.49	0
740	1.4898	0
750	1.4896	0
760	1.4895	0
770	1.4893	0
780	1.4892	0
790	1.489	0
800	1.4889	0
810	1.4888	0
820	1.4887	0
830	1.4885	0
840	1.4884	0
850	1.4883	0
860	1.4882	0
870	1.4881	0
880	1.488	0
890	1.4879	0
900	1.4877	0
910	1.4876	0
920	1.4875	0
930	1.4874	0
940	1.4873	0
950	1.4871	0
960	1.487	0
970	1.4869	0
980	1.4867	0
990	1.4866	0
1000	1.4864	0
1010	1.4862	0
1020	1.4861	0
1030	1.4859	0
1040	1.4857	0
1050	1.4855	0
