Wavelength(nm)	n	k
206.67	0.76	1.93
208.4	0.7713	1.9513
210.17	0.7792	1.9681
211.97	0.7847	1.9824
213.79	0.789	1.9963
215.65	0.794	2.0139
217.54	0.7986	2.033
219.47	0.8006	2.0488
221.43	0.8004	2.0626
223.42	0.8	2.0783
225.45	0.8	2.0969
227.52	0.8003	2.1183
229.63	0.8006	2.1421
231.78	0.799	2.1643
233.96	0.7941	2.1825
236.19	0.7898	2.2027
238.46	0.7894	2.23
240.78	0.79	2.2594
243.14	0.79	2.2882
245.54	0.79	2.316
248	0.79	2.3395
250.51	0.79	2.363
253.06	0.79	2.3926
255.67	0.79	2.4261
258.33	0.7904	2.4592
261.05	0.7905	2.492
263.83	0.7876	2.5271
266.67	0.7824	2.5647
269.57	0.7808	2.6025
272.53	0.7852	2.6398
275.56	0.7907	2.6787
278.65	0.7944	2.7207
281.82	0.8011	2.7635
285.06	0.8153	2.8053
288.37	0.8295	2.8481
291.76	0.8364	2.895
295.24	0.8397	2.9421
298.8	0.8395	2.9852
302.44	0.8395	3.0273
306.17	0.8449	3.0714
310	0.8549	3.1187
313.92	0.8675	3.1713
317.95	0.8818	3.228
322.08	0.8956	3.2852
326.32	0.9092	3.3416
330.67	0.927	3.3975
335.14	0.9506	3.4531
339.73	0.9736	3.5121
344.44	0.9917	3.5772
349.3	1.0115	3.6442
354.29	1.0369	3.71
359.42	1.0678	3.7758
364.71	1.1071	3.8422
370.15	1.1512	3.9077
375.76	1.1963	3.9706
381.54	1.244	4.0311
387.5	1.2967	4.09
393.65	1.3536	4.1461
400	1.4141	4.1979
406.56	1.4756	4.245
413.33	1.5333	4.2873
420.34	1.5853	4.3252
427.59	1.6348	4.3602
435.09	1.6828	4.3933
442.86	1.7273	4.4257
450.91	1.7671	4.4591
459.26	1.8013	4.4911
467.92	1.8276	4.5169
476.92	1.8485	4.547
486.27	1.8642	4.5918
496	1.8773	4.647
506.12	1.8906	4.7119
516.67	1.9048	4.7841
527.66	1.9209	4.861
539.13	1.9398	4.9414
551.11	1.9639	5.0233
563.64	1.9923	5.1074
576.74	2.0208	5.1976
590.48	2.0484	5.2952
604.88	2.0793	5.3995
620	2.1156	5.5104
635.9	2.1565	5.6278
652.63	2.2022	5.7514
670.27	2.251	5.8829
688.89	2.2985	6.025
708.57	2.3535	6.1739
729.41	2.4264	6.3267
751.52	2.5096	6.483
775	2.5951	6.6407
800	2.6854	6.8011
826.67	2.7852	6.9673
855.17	2.8941	7.137
885.71	3.0104	7.3053
918.52	3.1327	7.4701
953.85	3.2608	7.63
992	3.3906	7.7849
1033.33	3.5071	7.9387
1078.26	3.5997	8.0943
1127.27	3.6671	8.2625
1180.95	3.7052	8.4516
1240	3.71	8.67
1305.26	3.69	8.94
1377.78	3.62	9.36
1458.82	3.64	9.81
1550	3.63	10.3
1653.33	3.63	11
1771.43	3.67	11.7
1907.69	3.77	12.6
2066.67	3.87	13.5
2254.55	3.97	14.7
2480	4.2	16.1
