Wavelength(nm)	n	k
330	1.66558	0
335	1.6622	0
340	1.65905	0
345	1.65612	0
350	1.65336	0
355	1.65078	0
360	1.64835	0
365	1.64607	0
370	1.64391	0
375	1.64187	0
380	1.63994	0
385	1.63811	0
390	1.63637	0
395	1.63472	0
400	1.63315	0
405	1.63166	0
410	1.63023	0
415	1.62887	0
420	1.62757	0
425	1.62632	0
430	1.62513	0
435	1.62399	0
440	1.6229	0
445	1.62185	0
450	1.62084	0
455	1.61988	0
460	1.61894	0
465	1.61805	0
470	1.61719	0
475	1.61636	0
480	1.61556	0
485	1.61478	0
490	1.61404	0
495	1.61332	0
500	1.61262	0
505	1.61195	0
510	1.6113	0
515	1.61067	0
520	1.61006	0
525	1.60947	0
530	1.6089	0
535	1.60835	0
540	1.60781	0
545	1.60729	0
550	1.60679	0
555	1.6063	0
560	1.60582	0
565	1.60536	0
570	1.60491	0
575	1.60447	0
580	1.60404	0
585	1.60363	0
590	1.60322	0
595	1.60283	0
600	1.60245	0
605	1.60208	0
610	1.60171	0
615	1.60136	0
620	1.60101	0
625	1.60068	0
630	1.60035	0
635	1.60003	0
640	1.59972	0
645	1.59941	0
650	1.59911	0
655	1.59882	0
660	1.59853	0
665	1.59825	0
670	1.59798	0
675	1.59771	0
680	1.59745	0
685	1.5972	0
690	1.59695	0
695	1.5967	0
700	1.59646	0
705	1.59623	0
710	1.596	0
715	1.59577	0
720	1.59555	0
725	1.59533	0
730	1.59512	0
735	1.59491	0
740	1.59471	0
745	1.5945	0
750	1.59431	0
755	1.59411	0
760	1.59392	0
765	1.59374	0
770	1.59355	0
775	1.59337	0
780	1.59319	0
785	1.59302	0
790	1.59285	0
795	1.59268	0
800	1.59251	0
805	1.59235	0
810	1.59219	0
815	1.59203	0
820	1.59188	0
825	1.59172	0
830	1.59157	0
835	1.59142	0
840	1.59128	0
845	1.59113	0
850	1.59099	0
855	1.59085	0
860	1.59071	0
865	1.59058	0
870	1.59044	0
875	1.59031	0
880	1.59018	0
885	1.59005	0
890	1.58992	0
895	1.5898	0
900	1.58967	0
905	1.58955	0
910	1.58943	0
915	1.58931	0
920	1.58919	0
925	1.58908	0
930	1.58896	0
935	1.58885	0
940	1.58874	0
945	1.58862	0
950	1.58851	0
955	1.58841	0
960	1.5883	0
965	1.58819	0
970	1.58809	0
975	1.58798	0
980	1.58788	0
985	1.58778	0
990	1.58768	0
995	1.58758	0
1000	1.58748	0
1005	1.58738	0
1010	1.58729	0
1015	1.58719	0
1020	1.58709	0
1025	1.587	0
1030	1.58691	0
1035	1.58681	0
1040	1.58672	0
1045	1.58663	0
1050	1.58654	0
1055	1.58645	0
1060	1.58636	0
1065	1.58628	0
1070	1.58619	0
1075	1.5861	0
1080	1.58602	0
1085	1.58593	0
1090	1.58585	0
1095	1.58576	0
1100	1.58568	0
1105	1.5856	0
1110	1.58551	0
1115	1.58543	0
1120	1.58535	0
1125	1.58527	0
1130	1.58519	0
1135	1.58511	0
1140	1.58503	0
1145	1.58496	0
1150	1.58488	0
1155	1.5848	0
1160	1.58472	0
1165	1.58465	0
1170	1.58457	0
1175	1.5845	0
1180	1.58442	0
1185	1.58435	0
1190	1.58427	0
1195	1.5842	0
1200	1.58412	0
1205	1.58405	0
1210	1.58398	0
1215	1.58391	0
1220	1.58383	0
1225	1.58376	0
1230	1.58369	0
1235	1.58362	0
1240	1.58355	0
1245	1.58348	0
1250	1.58341	0
1255	1.58334	0
1260	1.58327	0
1265	1.5832	0
1270	1.58313	0
1275	1.58306	0
1280	1.58299	0
1285	1.58292	0
1290	1.58286	0
1295	1.58279	0
1300	1.58272	0
1305	1.58265	0
1310	1.58259	0
1315	1.58252	0
1320	1.58245	0
1325	1.58239	0
1330	1.58232	0
1335	1.58225	0
1340	1.58219	0
1345	1.58212	0
1350	1.58206	0
1355	1.58199	0
1360	1.58193	0
1365	1.58186	0
1370	1.5818	0
1375	1.58173	0
1380	1.58167	0
1385	1.5816	0
1390	1.58154	0
1395	1.58147	0
1400	1.58141	0
1405	1.58135	0
1410	1.58128	0
1415	1.58122	0
1420	1.58116	0
1425	1.58109	0
1430	1.58103	0
1435	1.58097	0
1440	1.5809	0
1445	1.58084	0
1450	1.58078	0
1455	1.58071	0
1460	1.58065	0
1465	1.58059	0
1470	1.58053	0
1475	1.58046	0
1480	1.5804	0
1485	1.58034	0
1490	1.58028	0
1495	1.58021	0
1500	1.58015	0
1505	1.58009	0
1510	1.58003	0
1515	1.57997	0
1520	1.5799	0
1525	1.57984	0
1530	1.57978	0
1535	1.57972	0
1540	1.57966	0
1545	1.57959	0
1550	1.57953	0
1555	1.57947	0
1560	1.57941	0
1565	1.57935	0
1570	1.57929	0
1575	1.57922	0
1580	1.57916	0
1585	1.5791	0
1590	1.57904	0
1595	1.57898	0
1600	1.57892	0
1605	1.57886	0
1610	1.57879	0
1615	1.57873	0
1620	1.57867	0
1625	1.57861	0
1630	1.57855	0
1635	1.57849	0
1640	1.57843	0
1645	1.57836	0
1650	1.5783	0
1655	1.57824	0
1660	1.57818	0
1665	1.57812	0
1670	1.57806	0
1675	1.57799	0
1680	1.57793	0
1685	1.57787	0
1690	1.57781	0
1695	1.57775	0
1700	1.57769	0
1705	1.57762	0
1710	1.57756	0
1715	1.5775	0
1720	1.57744	0
1725	1.57738	0
1730	1.57731	0
1735	1.57725	0
1740	1.57719	0
1745	1.57713	0
1750	1.57707	0
1755	1.577	0
1760	1.57694	0
1765	1.57688	0
1770	1.57682	0
1775	1.57676	0
