Wavelength(nm)	n	k
330	1.95144	0
335	1.94179	0
340	1.93303	0
345	1.92506	0
350	1.91775	0
355	1.91103	0
360	1.90483	0
365	1.89909	0
370	1.89376	0
375	1.88878	0
380	1.88414	0
385	1.87979	0
390	1.87571	0
395	1.87187	0
400	1.86825	0
405	1.86483	0
410	1.8616	0
415	1.85855	0
420	1.85565	0
425	1.85289	0
430	1.85028	0
435	1.84778	0
440	1.84541	0
445	1.84314	0
450	1.84098	0
455	1.83891	0
460	1.83693	0
465	1.83503	0
470	1.83321	0
475	1.83147	0
480	1.82979	0
485	1.82819	0
490	1.82664	0
495	1.82515	0
500	1.82372	0
505	1.82233	0
510	1.821	0
515	1.81972	0
520	1.81848	0
525	1.81728	0
530	1.81613	0
535	1.81501	0
540	1.81393	0
545	1.81288	0
550	1.81187	0
555	1.81088	0
560	1.80993	0
565	1.80901	0
570	1.80812	0
575	1.80725	0
580	1.80641	0
585	1.80559	0
590	1.8048	0
595	1.80402	0
600	1.80327	0
605	1.80254	0
610	1.80183	0
615	1.80114	0
620	1.80047	0
625	1.79981	0
630	1.79918	0
635	1.79856	0
640	1.79795	0
645	1.79736	0
650	1.79678	0
655	1.79622	0
660	1.79567	0
665	1.79514	0
670	1.79461	0
675	1.7941	0
680	1.7936	0
685	1.79312	0
690	1.79264	0
695	1.79217	0
700	1.79172	0
705	1.79127	0
710	1.79084	0
715	1.79041	0
720	1.78999	0
725	1.78958	0
730	1.78918	0
735	1.78879	0
740	1.78841	0
745	1.78803	0
750	1.78766	0
755	1.7873	0
760	1.78694	0
765	1.78659	0
770	1.78625	0
775	1.78592	0
780	1.78559	0
785	1.78527	0
790	1.78495	0
795	1.78464	0
800	1.78433	0
805	1.78403	0
810	1.78374	0
815	1.78345	0
820	1.78316	0
825	1.78288	0
830	1.78261	0
835	1.78234	0
840	1.78207	0
845	1.78181	0
850	1.78155	0
855	1.7813	0
860	1.78105	0
865	1.7808	0
870	1.78056	0
875	1.78032	0
880	1.78008	0
885	1.77985	0
890	1.77963	0
895	1.7794	0
900	1.77918	0
905	1.77896	0
910	1.77875	0
915	1.77853	0
920	1.77832	0
925	1.77812	0
930	1.77791	0
935	1.77771	0
940	1.77752	0
945	1.77732	0
950	1.77713	0
955	1.77694	0
960	1.77675	0
965	1.77656	0
970	1.77638	0
975	1.7762	0
980	1.77602	0
985	1.77584	0
990	1.77567	0
995	1.77549	0
1000	1.77532	0
1005	1.77515	0
1010	1.77499	0
1015	1.77482	0
1020	1.77466	0
1025	1.7745	0
1030	1.77434	0
1035	1.77418	0
1040	1.77402	0
1045	1.77387	0
1050	1.77372	0
1055	1.77356	0
1060	1.77341	0
1065	1.77327	0
1070	1.77312	0
1075	1.77297	0
1080	1.77283	0
1085	1.77269	0
1090	1.77254	0
1095	1.7724	0
1100	1.77226	0
1105	1.77213	0
1110	1.77199	0
1115	1.77185	0
1120	1.77172	0
1125	1.77159	0
1130	1.77145	0
1135	1.77132	0
1140	1.77119	0
1145	1.77107	0
1150	1.77094	0
1155	1.77081	0
1160	1.77068	0
1165	1.77056	0
1170	1.77044	0
1175	1.77031	0
1180	1.77019	0
1185	1.77007	0
1190	1.76995	0
1195	1.76983	0
1200	1.76971	0
1205	1.76959	0
1210	1.76948	0
1215	1.76936	0
1220	1.76924	0
1225	1.76913	0
1230	1.76902	0
1235	1.7689	0
1240	1.76879	0
1245	1.76868	0
1250	1.76857	0
1255	1.76846	0
1260	1.76835	0
1265	1.76824	0
1270	1.76813	0
1275	1.76802	0
1280	1.76791	0
1285	1.76781	0
1290	1.7677	0
1295	1.76759	0
1300	1.76749	0
1305	1.76738	0
1310	1.76728	0
1315	1.76717	0
1320	1.76707	0
1325	1.76697	0
1330	1.76687	0
1335	1.76676	0
1340	1.76666	0
1345	1.76656	0
1350	1.76646	0
1355	1.76636	0
1360	1.76626	0
1365	1.76616	0
1370	1.76606	0
1375	1.76596	0
1380	1.76587	0
1385	1.76577	0
1390	1.76567	0
1395	1.76557	0
1400	1.76548	0
1405	1.76538	0
1410	1.76529	0
1415	1.76519	0
1420	1.76509	0
1425	1.765	0
1430	1.7649	0
1435	1.76481	0
1440	1.76472	0
1445	1.76462	0
1450	1.76453	0
1455	1.76444	0
1460	1.76434	0
1465	1.76425	0
1470	1.76416	0
1475	1.76406	0
1480	1.76397	0
1485	1.76388	0
1490	1.76379	0
1495	1.7637	0
1500	1.76361	0
1505	1.76351	0
1510	1.76342	0
1515	1.76333	0
1520	1.76324	0
1525	1.76315	0
1530	1.76306	0
1535	1.76297	0
1540	1.76288	0
1545	1.76279	0
1550	1.7627	0
1555	1.76261	0
1560	1.76253	0
1565	1.76244	0
1570	1.76235	0
1575	1.76226	0
1580	1.76217	0
1585	1.76208	0
1590	1.76199	0
1595	1.76191	0
1600	1.76182	0
1605	1.76173	0
1610	1.76164	0
1615	1.76155	0
1620	1.76147	0
1625	1.76138	0
1630	1.76129	0
1635	1.7612	0
1640	1.76112	0
1645	1.76103	0
1650	1.76094	0
1655	1.76086	0
1660	1.76077	0
1665	1.76068	0
1670	1.7606	0
1675	1.76051	0
1680	1.76042	0
1685	1.76034	0
1690	1.76025	0
1695	1.76016	0
1700	1.76008	0
1705	1.75999	0
1710	1.7599	0
1715	1.75982	0
1720	1.75973	0
1725	1.75965	0
1730	1.75956	0
1735	1.75947	0
1740	1.75939	0
1745	1.7593	0
1750	1.75921	0
1755	1.75913	0
1760	1.75904	0
1765	1.75896	0
1770	1.75887	0
1775	1.75878	0
1780	1.7587	0
1785	1.75861	0
1790	1.75853	0
1795	1.75844	0
1800	1.75835	0
1805	1.75827	0
1810	1.75818	0
1815	1.7581	0
1820	1.75801	0
1825	1.75792	0
1830	1.75784	0
1835	1.75775	0
1840	1.75767	0
1845	1.75758	0
1850	1.75749	0
1855	1.75741	0
1860	1.75732	0
1865	1.75723	0
1870	1.75715	0
1875	1.75706	0
1880	1.75698	0
1885	1.75689	0
1890	1.7568	0
1895	1.75672	0
1900	1.75663	0
1905	1.75654	0
1910	1.75646	0
1915	1.75637	0
1920	1.75628	0
1925	1.7562	0
1930	1.75611	0
1935	1.75602	0
1940	1.75594	0
1945	1.75585	0
1950	1.75576	0
1955	1.75567	0
1960	1.75559	0
1965	1.7555	0
1970	1.75541	0
1975	1.75533	0
1980	1.75524	0
1985	1.75515	0
1990	1.75506	0
1995	1.75497	0
2000	1.75489	0
2005	1.7548	0
2010	1.75471	0
2015	1.75462	0
2020	1.75454	0
2025	1.75445	0
2030	1.75436	0
2035	1.75427	0
2040	1.75418	0
2045	1.75409	0
2050	1.754	0
2055	1.75392	0
2060	1.75383	0
2065	1.75374	0
2070	1.75365	0
2075	1.75356	0
2080	1.75347	0
2085	1.75338	0
2090	1.75329	0
2095	1.7532	0
2100	1.75311	0
2105	1.75302	0
2110	1.75293	0
2115	1.75284	0
2120	1.75275	0
2125	1.75266	0
2130	1.75257	0
2135	1.75248	0
2140	1.75239	0
2145	1.7523	0
2150	1.75221	0
2155	1.75212	0
2160	1.75203	0
2165	1.75194	0
2170	1.75185	0
2175	1.75176	0
2180	1.75167	0
2185	1.75157	0
2190	1.75148	0
2195	1.75139	0
2200	1.7513	0
2205	1.75121	0
2210	1.75112	0
2215	1.75102	0
2220	1.75093	0
2225	1.75084	0
2230	1.75075	0
2235	1.75065	0
2240	1.75056	0
2245	1.75047	0
2250	1.75037	0
2255	1.75028	0
2260	1.75019	0
