Wavelength(nm)	n	k
380	1.54966	0
390	1.54515	0
400	1.54165	0
410	1.53887	0
420	1.53659	0
430	1.53468	0
440	1.53303	0
450	1.53158	0
460	1.53027	0
470	1.52906	0
480	1.52795	0
490	1.5269	0
500	1.52591	0
510	1.52497	0
520	1.52408	0
530	1.52323	0
540	1.52242	0
550	1.52164	0
560	1.52089	0
570	1.52018	0
580	1.5195	0
590	1.51886	0
600	1.51824	0
610	1.51764	0
620	1.51708	0
630	1.51654	0
640	1.51603	0
650	1.51554	0
660	1.51507	0
670	1.51463	0
680	1.5142	0
690	1.5138	0
700	1.51341	0
710	1.51305	0
720	1.5127	0
730	1.51236	0
740	1.51204	0
750	1.51174	0
760	1.51145	0
770	1.51118	0
780	1.51091	0
790	1.51066	0
800	1.51042	0
810	1.51019	0
820	1.50997	0
830	1.50976	0
840	1.50956	0
850	1.50937	0
860	1.50918	0
870	1.50901	0
880	1.50884	0
890	1.50867	0
900	1.50852	0
910	1.50836	0
920	1.50822	0
930	1.50808	0
940	1.50794	0
950	1.50781	0
960	1.50769	0
970	1.50757	0
980	1.50745	0
990	1.50733	0
1000	1.50722	0
1010	1.50712	0
1020	1.50701	0
1030	1.50691	0
1040	1.50681	0
1050	1.50672	0
