Wavelength(nm)	n	k
180	1.2077	2.0652
190	1.3168	2.2601
200	1.48	2.45
210	1.7209	2.5983
220	2.017	2.6678
230	2.3215	2.6042
240	2.5416	2.4008
250	2.5726	2.1542
260	2.4805	2.0883
270	2.4145	2.053
280	2.3723	2.0437
290	2.351	2.0557
300	2.3484	2.0844
310	2.3616	2.1253
320	2.3883	2.1735
330	2.4258	2.2246
340	2.4716	2.2738
350	2.523	2.3137
360	2.5761	2.3237
370	2.6303	2.3239
380	2.6834	2.3156
390	2.7334	2.3
400	2.7764	2.2782
410	2.8055	2.2507
420	2.8273	2.2193
430	2.8417	2.1851
440	2.8489	2.1495
450	2.8483	2.1147
460	2.8393	2.0845
470	2.8232	2.0549
480	2.8005	2.0259
490	2.7714	1.9973
500	2.7376	1.9676
510	2.7008	1.9347
520	2.6574	1.9037
530	2.6069	1.8759
540	2.5487	1.8524
550	2.4779	1.8349
560	2.3912	1.8247
570	2.2982	1.8226
580	2.2014	1.8295
590	2.1026	1.8463
600	2.0068	1.8778
610	1.9171	1.9263
620	1.8301	1.9853
630	1.7465	2.0537
640	1.6667	2.1304
650	1.5919	2.2157
660	1.5227	2.3087
670	1.4591	2.4058
680	1.4015	2.5051
690	1.3501	2.6053
700	1.3088	2.7003
710	1.2777	2.7886
720	1.252	2.8752
730	1.2306	2.9601
740	1.2127	3.0436
750	1.1947	3.1264
760	1.1762	3.2085
770	1.1593	3.2897
780	1.1438	3.3696
790	1.1297	3.4484
800	1.117	3.5259
810	1.1057	3.6022
820	1.0954	3.6773
830	1.086	3.7515
840	1.0772	3.8247
850	1.0685	3.8969
860	1.06	3.9681
870	1.052	4.0387
880	1.0443	4.1087
890	1.0371	4.1784
900	1.0302	4.2477
910	1.0236	4.3192
920	1.0172	4.3929
930	1.0111	4.4682
940	1.0053	4.5441
950	1	4.62
960	0.9964	4.6872
970	0.9934	4.7525
980	0.9909	4.8164
990	0.9886	4.879
1000	0.9866	4.9405
1010	0.9847	5.0014
1020	0.9828	5.0618
1030	0.9807	5.1219
1040	0.9768	5.185
1050	0.972	5.2495
1060	0.9669	5.3142
1070	0.9616	5.379
1080	0.9562	5.444
1090	0.9506	5.5091
1100	0.945	5.5742
1110	0.9394	5.6393
1120	0.9338	5.7045
1130	0.9288	5.7688
1140	0.925	5.8314
1150	0.9213	5.8939
1160	0.9178	5.9565
1170	0.9143	6.0192
1180	0.9109	6.0821
1190	0.9075	6.1454
1200	0.9042	6.2091
1210	0.9007	6.2733
1220	0.8973	6.3381
1230	0.8937	6.4037
1240	0.89	6.47
1250	0.886	6.5382
1260	0.882	6.6062
1270	0.8781	6.6731
1280	0.8742	6.7387
1290	0.8705	6.8036
1300	0.8668	6.868
1310	0.8632	6.9322
1320	0.8596	6.9965
1330	0.8554	7.0622
1340	0.8514	7.128
1350	0.8477	7.194
1360	0.8444	7.2603
1370	0.8417	7.3267
1380	0.84	7.3934
1390	0.8403	7.4605
1400	0.8413	7.5278
1410	0.8429	7.5951
1420	0.8448	7.6623
1430	0.8471	7.7295
1440	0.8495	7.7966
1450	0.8509	7.8631
1460	0.852	7.9293
1470	0.8532	7.9953
1480	0.8545	8.061
1490	0.856	8.1266
1500	0.8577	8.1919
1510	0.8596	8.257
1520	0.8625	8.3216
1530	0.8659	8.386
1540	0.8696	8.4502
1550	0.8734	8.5142
1560	0.8774	8.5782
1570	0.8816	8.6421
1580	0.8858	8.7061
1590	0.89	8.77
1600	0.8935	8.8348
1610	0.897	8.8997
1620	0.9005	8.9646
1630	0.904	9.0295
1640	0.9075	9.0943
1650	0.911	9.159
1660	0.9146	9.2235
1670	0.9182	9.2879
1680	0.922	9.3516
1690	0.9261	9.4146
1700	0.9302	9.4774
1710	0.9343	9.5401
1720	0.9385	9.6026
1730	0.9428	9.6649
1740	0.947	9.7272
1750	0.9512	9.7894
1760	0.9554	9.8516
1770	0.9596	9.9138
1780	0.9633	9.9761
1790	0.967	10.0386
1800	0.9706	10.1011
1810	0.9742	10.1637
1820	0.9778	10.2264
