Wavelength(nm)	n	k
203.25	0.895	2.048
206.64	0.946	2.081
210.14	0.998	2.108
213.77	1.045	2.128
217.52	1.093	2.152
221.4	1.143	2.174
225.43	1.193	2.196
229.6	1.251	2.216
233.93	1.306	2.229
238.43	1.363	2.239
243.11	1.42	2.243
247.97	1.471	2.242
253.03	1.523	2.242
258.3	1.57	2.237
263.8	1.614	2.236
269.53	1.659	2.131
275.52	1.701	2.224
281.78	1.738	2.118
288.34	1.775	2.209
295.2	1.805	2.202
302.4	1.834	2.198
309.96	1.862	2.194
317.91	1.885	2.194
326.28	1.907	2.203
335.1	1.94	2.204
344.4	1.966	2.202
354.24	1.978	2.202
364.66	1.986	2.216
375.71	1.998	2.243
387.45	2.024	2.274
399.95	2.054	2.302
413.28	2.089	2.311
427.54	2.105	2.338
442.8	2.114	2.371
459.2	2.125	2.423
476.87	2.148	2.486
495.94	2.179	2.56
516.6	2.226	2.644
539.07	2.294	2.734
563.57	2.384	2.824
590.41	2.504	2.901
619.93	2.648	2.943
652.55	2.78	2.934
688.81	2.862	2.889
729.32	2.891	2.881
774.91	2.894	2.919
826.57	2.936	3.022
885.61	3.052	3.079
953.73	3.113	3.075
1033.21	3.152	3.069
1127.14	3.044	2.949
1239.85	2.667	3.071
1377.61	2.3	3.476
1549.81	2.061	4.128
1771.22	1.905	4.859
2066.42	1.647	5.791
2479.7	1.279	7.306
3099.63	0.989	9.703
4132.84	0.948	13.629
6199.26	1.106	21.248
10000	1.53701	30.09191
